Symbol,Period,Total Asset,TotalLiabilities('000 Baht),Paid-upCap('000 Baht),Equity('000 Baht),Revenue('000 Baht),Expenses('000 Baht),EBITDA('000 Baht),EBIT('000 Baht),Net Profit('000 Baht),EPS**(Baht),Operating Cash Flow('000 Baht),Investing Cash Flow('000 Baht),Financing Cash Flow('000 Baht),Net Cash Flow('000 Baht),Return onEquity+(%),Return onAsset+(%),Gross ProfitMargin(%),Net ProfitMargin(%),EBIT Margin(%),D/E(Times),Int. Coverage(Times),Current Ratio(Times),Quick Ratio(Times),FixedAssetTurnover+(Times),TotalAssetTurnover+(Times),Inventory Turnover+(Times),Average Sale Period+(Days),Accounts Receivable Turnover+(Times),Average Collection Period+(Days),Account Payable Turnover+(Times),Average Payment Period+(Days),Cash Cycle+(Days),Equity Multiplier,Period
A,Q1/2015,12489724.00,9592395.00,980000.00,2897329.00,784165.00,705416.00,90793.00,78749.00,23694.00,0.02,-87770.00,25644.00,128006.00,65880.00,1.53,1.87,31.91,3.02,10.04,3.31,1.55,2.42,0.07,5.88,0.25,0.21,1707.53,93.57,3.90,6.34,57.60,1653.83,4.31,2015Q1
A,Q2/2015,12880537.00,9906912.00,980000.00,2973625.00,1317526.00,1154497.00,175349.00,163029.00,76296.00,0.08,38287.00,-41824.00,310862.00,307325.00,4.28,2.81,31.43,5.79,12.37,3.33,2.97,2.77,0.13,7.06,0.30,0.26,1426.91,161.53,2.26,8.11,45.00,1384.17,4.33,2015Q2
A,Q3/2015,12546401.00,9473979.00,980000.00,3072422.00,1979752.00,1831879.00,160476.00,147873.00,98797.00,0.10,33357.00,38353.00,-148800.00,-77090.00,7.19,3.62,21.03,4.99,7.47,3.08,3.85,2.67,0.04,9.44,0.42,0.37,994.48,161.48,2.26,13.03,28.02,968.72,4.08,2015Q3
A,Q4/2015,12861190.46,9770865.97,980000.00,3090324.49,1368247.85,1320118.59,61294.83,48129.26,17901.99,0.02,-2138.34,-3572.79,90622.76,84911.63,7.27,3.53,23.05,1.31,3.52,3.16,2.17,2.44,0.07,9.68,0.44,0.39,943.45,170.27,2.14,15.91,22.94,922.65,4.16,2015Q4
A,Q1/2016,12995316.00,9842327.00,980000.00,3152989.00,1147171.00,1022670.00,138904.00,124501.00,62664.00,0.06,407621.00,-24586.00,-418400.00,-35365.00,8.45,3.79,29.76,5.46,10.85,3.12,2.69,2.28,0.06,12.05,0.46,0.40,904.93,180.60,2.02,11.64,31.36,875.59,4.12,2016Q1
A,Q2/2016,13199244.00,9980020.00,980000.00,3219224.00,1241921.00,1025704.00,229712.00,216217.00,105433.00,0.11,474526.00,-68044.00,-469038.00,-62556.00,9.20,4.12,36.78,8.49,17.41,3.10,2.76,2.18,0.05,11.73,0.44,0.39,940.30,206.30,1.77,12.01,30.39,911.68,4.10,2016Q2
A,Q3/2016,13355020.00,10056726.00,980000.00,3298294.00,1253271.00,1103034.00,165755.00,150237.00,79070.00,0.08,477985.00,-78558.00,-441477.00,-42050.00,8.32,4.16,34.06,6.31,11.99,3.05,2.69,2.15,0.05,10.36,0.39,0.31,1167.09,157.36,2.32,10.60,34.42,1134.99,4.05,2016Q3
A,Q4/2016,13515775.24,10201309.54,980000.00,3314465.71,1082609.73,995597.12,103066.74,87012.62,16171.82,0.02,206894.48,-77437.43,-113789.92,15667.13,8.22,4.38,36.00,1.49,8.04,3.08,1.55,2.07,0.06,9.80,0.36,0.27,1331.84,124.95,2.92,11.19,32.62,1302.13,4.08,2016Q4
A,Q1/2017,13626903.00,10283371.00,980000.00,3343532.00,1160211.00,1059157.00,116102.00,101054.00,29066.00,0.03,316705.00,-38649.00,-108207.00,169849.00,7.07,4.17,35.01,2.51,8.71,3.08,1.80,2.39,0.10,11.76,0.36,0.27,1353.22,116.24,3.14,9.56,38.16,1318.19,4.08,2017Q1
A,Q2/2017,13820371.00,10509975.00,980000.00,3310396.00,1118338.00,1017455.00,119872.00,100883.00,15861.00,0.02,215712.00,-65967.00,-78899.00,70846.00,4.29,3.25,32.92,1.42,9.02,3.17,1.33,3.12,0.12,11.58,0.34,0.26,1404.40,85.27,4.28,10.05,36.32,1372.36,4.17,2017Q2
A,Q3/2017,13457257.00,10101437.00,980000.00,3355820.00,1404395.00,1284324.00,139935.00,120071.00,45424.00,0.05,692917.00,-16368.00,-694135.00,-17586.00,3.20,3.05,31.55,3.23,8.55,3.01,2.01,4.22,0.13,12.26,0.36,0.27,1333.10,96.91,3.77,10.70,34.13,1302.74,4.01,2017Q3
A,Q4/2017,13509798.93,10169327.29,980000.00,3340471.63,1374146.66,1293679.61,103295.06,80467.05,7342.30,0.01,947933.09,-21345.23,-956343.95,-29756.08,2.94,2.98,34.36,0.53,5.86,3.04,1.19,4.75,0.15,15.00,0.37,0.29,1264.17,74.25,4.92,11.17,32.67,1236.42,4.04,2017Q4
A,Q1/2018,13624567.00,10230683.00,980000.00,3393884.00,1062533.00,936684.00,143068.00,125849.00,53412.00,0.05,98719.00,19724.00,-198928.00,-80485.00,3.62,3.14,39.00,5.03,11.84,3.01,2.36,4.43,0.11,14.68,0.36,0.28,1302.20,69.89,5.22,10.03,36.40,1271.02,4.01,2018Q1
A,Q2/2018,13772536.00,10401390.00,980000.00,3371146.00,995729.00,913203.00,101510.00,82526.00,16460.00,0.02,265124.00,28062.00,-386572.00,-93386.00,3.67,2.96,35.00,1.65,8.29,3.09,1.42,2.97,0.08,14.79,0.35,0.27,1371.36,50.56,7.22,9.83,37.12,1341.45,4.09,2018Q2
A,Q3/2018,14082529.00,10694396.00,980000.00,3388133.00,1042082.00,956745.00,104371.00,85337.00,16987.00,0.02,55462.00,-3368.00,-218512.00,-166418.00,2.79,2.72,37.51,1.63,8.19,3.16,1.51,2.27,0.03,14.19,0.32,0.24,1535.75,72.56,5.03,9.60,38.03,1502.76,4.16,2018Q3
A,Q4/2018,14297304.83,10965245.49,980000.00,3332059.34,938534.00,939120.67,19106.57,-586.67,-56073.69,-0.06,272618.57,-119272.03,-359145.77,-205799.22,0.92,2.11,36.76,-5.97,-0.06,3.29,-0.01,2.21,0.03,13.11,0.29,0.22,1693.59,52.24,6.99,6.84,53.40,1647.18,4.29,2018Q4
A,Q1/2019,14369639.00,11026343.00,980000.00,3343296.00,867300.00,775619.00,107777.00,91681.00,11236.00,0.01,306306.00,-61613.00,-248182.00,-3489.00,-0.34,1.85,42.15,1.30,10.57,3.30,1.24,2.04,0.02,12.64,0.27,0.20,1815.24,48.79,7.48,5.80,62.93,1759.80,4.30,2019Q1
A,Q2/2019,15321426.00,12022772.00,980000.00,3298654.00,863239.00,839730.00,43672.00,23509.00,-45320.00,-0.05,219577.00,-104276.00,436708.00,552009.00,-2.19,1.37,35.84,-5.25,2.72,3.64,0.28,2.06,0.16,12.24,0.26,0.19,1927.81,15.44,23.64,5.06,72.09,1879.36,4.64,2019Q2
A,Q3/2019,14890241.00,11677840.00,980000.00,3212401.00,737401.00,770414.00,-13570.00,-33013.00,-86253.00,-0.09,443345.00,-224492.00,-248265.00,-29412.00,-5.35,0.56,31.54,-11.70,-4.48,3.64,-0.45,2.15,0.08,11.67,0.24,0.17,2089.80,14.09,25.91,4.61,79.25,2036.46,4.64,2019Q3
A,Q4/2019,15279322.01,11876154.17,980000.00,3403167.84,520626.23,613226.86,-78364.94,-92600.64,-160268.45,-0.17,843451.14,-514357.55,-349083.92,-19990.33,-8.33,-0.07,-10.78,-30.78,-17.79,3.49,-1.29,1.84,0.05,7.93,0.20,0.18,2077.57,17.80,20.51,3.08,118.68,1979.40,4.49,2019Q4
A,Q1/2020,16967584.00,13579558.00,980000.00,3388026.00,911059.00,834973.00,96697.00,76086.00,934.00,0.00,490377.00,-99547.00,1106788.00,1497618.00,-8.64,-0.17,26.26,0.10,8.35,4.01,1.06,2.04,0.27,8.29,0.19,0.19,1898.11,19.42,18.80,3.16,115.45,1801.46,5.01,2020Q1
A,2019,15279322.01,11876154.17,980000.00,3403167.84,2988566.23,2998989.86,59514.06,-10423.64,-280605.45,-0.29,843451.14,-514357.55,-349083.92,-19990.33,-8.33,-0.07,28.57,-9.39,-0.35,3.49,-0.03,1.84,0.05,7.93,0.20,0.18,2077.57,17.80,20.51,3.08,118.68,1979.40,4.49,2019
A,2018,14297304.83,10965245.49,980000.00,3332059.34,4038878.00,3745752.67,368055.57,293125.33,30785.31,0.03,272618.57,-119272.03,-359145.77,-205799.22,0.92,2.11,37.13,0.76,7.26,3.29,1.29,2.21,0.03,13.11,0.29,0.22,1693.59,52.24,6.99,6.84,53.40,1647.18,4.29,2018
A,2017,13509798.93,10169327.29,980000.00,3340471.63,5057090.66,4654615.61,479204.06,402475.05,97693.30,0.10,947933.09,-21345.23,-956343.95,-29756.08,2.94,2.98,33.41,1.93,7.96,3.04,1.55,4.75,0.15,15.00,0.37,0.29,1264.17,74.25,4.92,11.17,32.67,1236.42,4.04,2017
A,2016,13515775.24,10201309.54,980000.00,3314465.71,4724972.73,4147005.12,637437.74,577967.62,263338.82,0.27,206894.48,-77437.43,-113789.92,15667.13,8.22,4.38,34.17,5.57,12.23,3.08,2.44,2.07,0.06,9.80,0.36,0.27,1331.84,124.95,2.92,11.19,32.62,1302.13,4.08,2016
A,2015,12861190.46,9770865.97,980000.00,3090324.49,5453697.85,5015916.59,487913.83,437781.26,216688.99,0.22,-2138.34,-3572.79,90622.76,84911.63,7.27,3.53,25.61,3.97,8.03,3.16,2.63,2.44,0.07,9.68,0.44,0.39,943.45,170.27,2.14,15.91,22.94,922.65,4.16,2015
All,Q2/2019,6679372.00,4983468.00,560000.00,1695885.00,839583.00,674269.00,179700.00,165314.00,116010.00,0.23,-71939.00,-110778.00,162085.00,-20632.00,22.77,8.24,40.77,13.82,19.69,2.94,7.36,1.19,0.15,31.90,0.43,0.43,854.73,8.06,45.30,4.70,77.70,822.34,3.94,2019Q2
All,Q3/2019,6644524.00,4819321.00,560000.00,1825184.00,647441.00,466595.00,190516.00,180846.00,129299.00,0.23,367232.00,-292066.00,-148425.00,-73259.00,23.50,9.22,25.60,19.97,27.93,2.64,12.86,1.31,0.10,33.29,0.44,0.42,873.78,16.17,22.57,4.07,89.76,806.59,3.64,2019Q3
All,Q4/2019,7631619.86,5651597.95,560000.00,1980004.79,578833.96,376042.10,212872.42,202791.86,158723.31,0.29,354197.22,-602902.97,351669.75,102964.00,36.41,10.20,23.30,27.42,35.03,2.85,186.01,1.30,0.18,35.87,0.43,0.39,944.72,17.41,20.96,3.52,103.67,862.01,3.85,2019Q4
All,Q1/2020,8287217.00,6192950.00,560000.00,2094250.00,678775.00,498094.00,196249.00,180681.00,113105.00,0.20,-423456.00,132864.00,309291.00,18699.00,34.90,10.08,42.38,16.66,26.62,2.96,4.76,1.32,0.13,35.79,0.38,0.34,1087.62,14.59,25.01,2.56,142.83,969.81,3.96,2020Q1
All,2019,7631619.86,5651597.95,560000.00,1980004.79,2918216.96,2222309.10,744980.42,695907.86,501091.31,0.98,354197.22,-602902.97,351669.75,102964.00,36.41,10.20,33.90,17.17,23.85,2.85,11.44,1.30,0.18,35.87,0.43,0.39,944.72,17.41,20.96,3.52,103.67,862.01,3.85,2019
Anan,Q1/2015,18467248.00,11480597.00,333300.00,6986651.00,1393514.00,1232988.00,176035.00,160526.00,73562.00,0.02,-1129093.00,-602498.00,1203328.00,-528263.00,19.49,11.49,41.02,5.28,11.52,1.64,2.61,3.14,0.41,19.87,0.65,0.56,648.54,68.06,5.36,7.40,49.32,604.58,2.64,2015Q1
