Symbol,Period,Total Asset,TotalLiabilities('000 Baht),Paid-upCap('000 Baht),Equity('000 Baht),Revenue('000 Baht),Expenses('000 Baht),EBITDA('000 Baht),EBIT('000 Baht),Net Profit('000 Baht),EPS**(Baht),Operating Cash Flow('000 Baht),Investing Cash Flow('000 Baht),Financing Cash Flow('000 Baht),Net Cash Flow('000 Baht),Return onEquity+(%),Return onAsset+(%),Gross ProfitMargin(%),Net ProfitMargin(%),EBIT Margin(%),D/E(Times),Int. Coverage(Times),Current Ratio(Times),Quick Ratio(Times),FixedAssetTurnover+(Times),TotalAssetTurnover+(Times),Inventory Turnover+(Times),Average Sale Period+(Days),Accounts Receivable Turnover+(Times),Average Collection Period+(Days),Account Payable Turnover+(Times),Average Payment Period+(Days),Cash Cycle+(Days),Equity Multiplier,Period
A,Q1/2015,"12,489,724.00","9,592,395.00","980,000.00","2,897,329.00","784,165.00","705,416.00","90,793.00","78,749.00","23,694.00",0.02,"-87,770.00","25,644.00","128,006.00","65,880.00",1.53,1.87,31.91,3.02,10.04,3.31,1.55,2.42,0.07,5.88,0.25,0.21,"1,707.53",93.57,3.9,6.34,57.6,"1,653.83",4.31,2015Q1
A,Q2/2015,"12,880,537.00","9,906,912.00","980,000.00","2,973,625.00","1,317,526.00","1,154,497.00","175,349.00","163,029.00","76,296.00",0.08,"38,287.00","-41,824.00","310,862.00","307,325.00",4.28,2.81,31.43,5.79,12.37,3.33,2.97,2.77,0.13,7.06,0.3,0.26,"1,426.91",161.53,2.26,8.11,45,"1,384.17",4.33,2015Q2
A,Q3/2015,"12,546,401.00","9,473,979.00","980,000.00","3,072,422.00","1,979,752.00","1,831,879.00","160,476.00","147,873.00","98,797.00",0.1,"33,357.00","38,353.00","-148,800.00","-77,090.00",7.19,3.62,21.03,4.99,7.47,3.08,3.85,2.67,0.04,9.44,0.42,0.37,994.48,161.48,2.26,13.03,28.02,968.72,4.08,2015Q3
A,Q4/2015,"12,861,190.46","9,770,865.97","980,000.00","3,090,324.49","1,368,247.85","1,320,118.59","61,294.83","48,129.26","17,901.99",0.02,"-2,138.34","-3,572.79","90,622.76","84,911.63",7.27,3.53,23.05,1.31,3.52,3.16,2.17,2.44,0.07,9.68,0.44,0.39,943.45,170.27,2.14,15.91,22.94,922.65,4.16,2015Q4
A,Q1/2016,"12,995,316.00","9,842,327.00","980,000.00","3,152,989.00","1,147,171.00","1,022,670.00","138,904.00","124,501.00","62,664.00",0.06,"407,621.00","-24,586.00","-418,400.00","-35,365.00",8.45,3.79,29.76,5.46,10.85,3.12,2.69,2.28,0.06,12.05,0.46,0.4,904.93,180.6,2.02,11.64,31.36,875.59,4.12,2016Q1
A,Q2/2016,"13,199,244.00","9,980,020.00","980,000.00","3,219,224.00","1,241,921.00","1,025,704.00","229,712.00","216,217.00","105,433.00",0.11,"474,526.00","-68,044.00","-469,038.00","-62,556.00",9.2,4.12,36.78,8.49,17.41,3.1,2.76,2.18,0.05,11.73,0.44,0.39,940.3,206.3,1.77,12.01,30.39,911.68,4.10,2016Q2
A,Q3/2016,"13,355,020.00","10,056,726.00","980,000.00","3,298,294.00","1,253,271.00","1,103,034.00","165,755.00","150,237.00","79,070.00",0.08,"477,985.00","-78,558.00","-441,477.00","-42,050.00",8.32,4.16,34.06,6.31,11.99,3.05,2.69,2.15,0.05,10.36,0.39,0.31,"1,167.09",157.36,2.32,10.6,34.42,"1,134.99",4.05,2016Q3
A,Q4/2016,"13,515,775.24","10,201,309.54","980,000.00","3,314,465.71","1,082,609.73","995,597.12","103,066.74","87,012.62","16,171.82",0.02,"206,894.48","-77,437.43","-113,789.92","15,667.13",8.22,4.38,36,1.49,8.04,3.08,1.55,2.07,0.06,9.8,0.36,0.27,"1,331.84",124.95,2.92,11.19,32.62,"1,302.13",4.08,2016Q4
A,Q1/2017,"13,626,903.00","10,283,371.00","980,000.00","3,343,532.00","1,160,211.00","1,059,157.00","116,102.00","101,054.00","29,066.00",0.03,"316,705.00","-38,649.00","-108,207.00","169,849.00",7.07,4.17,35.01,2.51,8.71,3.08,1.8,2.39,0.1,11.76,0.36,0.27,"1,353.22",116.24,3.14,9.56,38.16,"1,318.19",4.08,2017Q1
A,Q2/2017,"13,820,371.00","10,509,975.00","980,000.00","3,310,396.00","1,118,338.00","1,017,455.00","119,872.00","100,883.00","15,861.00",0.02,"215,712.00","-65,967.00","-78,899.00","70,846.00",4.29,3.25,32.92,1.42,9.02,3.17,1.33,3.12,0.12,11.58,0.34,0.26,"1,404.40",85.27,4.28,10.05,36.32,"1,372.36",4.17,2017Q2
